title,artist,institution,licence,page_url,image_url,file,jpeg_bytes
The Scream,Edvard Munch,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Edvard_Munch_-_The_Scream_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Edvard_Munch_-_The_Scream_-_Google_Art_Project.jpg/1920px-Edvard_Munch_-_The_Scream_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-scream__edvard-munch.jpg,1337893
Girl with a Pearl Earring,Johannes Vermeer,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:1665_Girl_with_a_Pearl_Earring.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/1665_Girl_with_a_Pearl_Earring.jpg/1920px-1665_Girl_with_a_Pearl_Earring.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/girl-with-a-pearl-earring__johannes-vermeer.jpg,1437752
The Milkmaid,Johannes Vermeer,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_Het_melkmeisje_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Johannes_Vermeer_-_Het_melkmeisje_-_Google_Art_Project.jpg/1920px-Johannes_Vermeer_-_Het_melkmeisje_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-milkmaid__johannes-vermeer.jpg,1478868
The Starry Night,Vincent van Gogh,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:VanGogh-starry_night_ballance1.jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/VanGogh-starry_night_ballance1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,assets/paintings/the-starry-night__vincent-van-gogh.jpg,1933764
Starry Night Over the Rhone,Vincent van Gogh,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Vincent_van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg/1920px-Vincent_van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/starry-night-over-the-rhone__vincent-van-gogh.jpg,1166155
Cafe Terrace at Night,Vincent van Gogh,Wikimedia Commons,CC0,https://commons.wikimedia.org/wiki/File:Vincent-van-gogh-cafe-terrace-on-the-place-du-forum-arles-at-night-the.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Vincent-van-gogh-cafe-terrace-on-the-place-du-forum-arles-at-night-the.jpg/1920px-Vincent-van-gogh-cafe-terrace-on-the-place-du-forum-arles-at-night-the.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/cafe-terrace-at-night__vincent-van-gogh.jpg,2107217
Irises,Vincent van Gogh,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Irises_(1889).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Vincent_van_Gogh_-_Irises_%281889%29.jpg/1920px-Vincent_van_Gogh_-_Irises_%281889%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/irises__vincent-van-gogh.jpg,1311798
Sunflowers,Vincent van Gogh,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Vincent_Willem_van_Gogh_128.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Vincent_Willem_van_Gogh_128.jpg/1920px-Vincent_Willem_van_Gogh_128.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/sunflowers__vincent-van-gogh.jpg,940641
The Potato Eaters,Vincent van Gogh,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Almond_blossom_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Vincent_van_Gogh_-_Almond_blossom_-_Google_Art_Project.jpg/1920px-Vincent_van_Gogh_-_Almond_blossom_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-potato-eaters__vincent-van-gogh.jpg,1046465
The Bedroom,Vincent van Gogh,Wikimedia Commons,Public domain,"https://commons.wikimedia.org/wiki/File:La_Chambre_%C3%A0_Arles,_by_Vincent_van_Gogh,_from_C2RMF.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/La_Chambre_%C3%A0_Arles%2C_by_Vincent_van_Gogh%2C_from_C2RMF.jpg/1920px-La_Chambre_%C3%A0_Arles%2C_by_Vincent_van_Gogh%2C_from_C2RMF.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-bedroom__vincent-van-gogh.jpg,992667
Self-Portrait,Vincent van Gogh,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_(454045).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg/1920px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/self-portrait__vincent-van-gogh.jpg,1707034
The Sower,Vincent van Gogh,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:The_Sower_-_Vincent_Van_Gogh.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/The_Sower_-_Vincent_Van_Gogh.jpg/1920px-The_Sower_-_Vincent_Van_Gogh.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-sower__vincent-van-gogh.jpg,2647772
Water Lilies,Claude Monet,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Detail_of_%22The_Water-Lily_Pond%22_by_Claude_Monet_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Detail_of_%22The_Water-Lily_Pond%22_by_Claude_Monet_02.jpg/1920px-Detail_of_%22The_Water-Lily_Pond%22_by_Claude_Monet_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/water-lilies__claude-monet.jpg,780772
"Impression, Sunrise",Claude Monet,Wikimedia Commons,Public domain,"https://commons.wikimedia.org/wiki/File:Monet_-_Impression,_Sunrise.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Monet_-_Impression%2C_Sunrise.jpg/1920px-Monet_-_Impression%2C_Sunrise.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/impression-sunrise__claude-monet.jpg,804833
Woman with a Parasol,Claude Monet,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Woman_with_a_Parasol_-_Madame_Monet_and_Her_Son_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Claude_Monet_-_Woman_with_a_Parasol_-_Madame_Monet_and_Her_Son_-_Google_Art_Project.jpg/1920px-Claude_Monet_-_Woman_with_a_Parasol_-_Madame_Monet_and_Her_Son_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/woman-with-a-parasol__claude-monet.jpg,1760658
San Giorgio Maggiore at Dusk,Claude Monet,Wikimedia Commons,Public domain,"https://commons.wikimedia.org/wiki/File:Claude_Monet,_Saint-Georges_majeur_au_cr%C3%A9puscule.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Claude_Monet%2C_Saint-Georges_majeur_au_cr%C3%A9puscule.jpg/1920px-Claude_Monet%2C_Saint-Georges_majeur_au_cr%C3%A9puscule.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/san-giorgio-maggiore-at-dusk__claude-monet.jpg,1601338
Olympia,Edouard Manet,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Edouard_Manet_-_Olympia_-_Google_Art_Project_3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Edouard_Manet_-_Olympia_-_Google_Art_Project_3.jpg/1920px-Edouard_Manet_-_Olympia_-_Google_Art_Project_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/olympia__edouard-manet.jpg,639838
A Bar at the Folies-Bergere,Edouard Manet,Wikimedia Commons,Public domain,"https://commons.wikimedia.org/wiki/File:Edouard_Manet,_A_Bar_at_the_Folies-Berg%C3%A8re.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Edouard_Manet%2C_A_Bar_at_the_Folies-Berg%C3%A8re.jpg/1920px-Edouard_Manet%2C_A_Bar_at_the_Folies-Berg%C3%A8re.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/a-bar-at-the-folies-bergere__edouard-manet.jpg,1047271
The Luncheon on the Grass,Edouard Manet,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Edouard_Manet_-_Luncheon_on_the_Grass_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Edouard_Manet_-_Luncheon_on_the_Grass_-_Google_Art_Project.jpg/1920px-Edouard_Manet_-_Luncheon_on_the_Grass_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-luncheon-on-the-grass__edouard-manet.jpg,695899
Nighthawks,Edward Hopper,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Nighthawks_by_Edward_Hopper_1942.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Nighthawks_by_Edward_Hopper_1942.jpg/1920px-Nighthawks_by_Edward_Hopper_1942.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/nighthawks__edward-hopper.jpg,324559
